City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
271,Kapiri Mposhi,ZM,2020-07-11 03:33:12,-13.97,28.68,56.1,89,0,5.26
272,Mongo,TD,2020-07-11 03:33:12,12.18,18.69,74.01,75,100,10.38
273,Surt,LY,2020-07-11 03:33:12,31.21,16.59,72.14,87,0,7.83
274,Yaan,NG,2020-07-11 03:33:12,7.38,8.57,71.44,95,100,5.46
275,Ulagan,RU,2020-07-11 03:33:12,50.63,87.96,64.45,66,71,4.7
276,Los Llanos De Aridane,ES,2020-07-11 03:33:12,28.66,-17.92,71.6,73,90,13.87
277,Kulhudhuffushi,MV,2020-07-11 03:30:18,6.62,73.07,83.68,73,100,6.87
278,Matara,LK,2020-07-11 03:33:13,5.95,80.54,85.01,69,67,10.63
279,Tsabong,BW,2020-07-11 03:33:13,-26.02,22.4,41.31,87,42,9.89
280,Sao Filipe,CV,2020-07-11 03:33:13,14.9,-24.5,74.28,85,4,10.0
281,Kaya,BF,2020-07-11 03:33:13,13.09,-1.08,80.98,68,100,12.06
282,Pallasovka,RU,2020-07-11 03:33:13,50.05,46.88,71.47,77,22,16.73
283,San Carlos De Bariloche,AR,2020-07-11 03:33:13,-41.15,-71.31,33.8,91,90,23.04
284,Trairi,BR,2020-07-11 03:33:13,-3.28,-39.27,75.85,85,70,7.16
285,Saint-Philippe,RE,2020-07-11 03:33:14,-21.36,55.77,64.4,82,47,4.7
286,Olinda,BR,2020-07-11 03:33:14,-8.01,-34.86,75.2,83,20,8.05
287,Custoias,PT,2020-07-11 03:33:14,41.11,-7.32,70.0,6,0,4.0
288,Naze,JP,2020-07-11 03:33:14,28.37,129.48,87.8,84,75,12.75
289,Acarau,BR,2020-07-11 03:33:14,-2.89,-40.12,75.9,85,91,9.86
290,Fort Nelson,CA,2020-07-11 03:33:14,58.81,-122.7,69.8,68,75,5.75
291,Almenara,BR,2020-07-11 03:33:14,-16.18,-40.69,64.18,90,24,1.41
292,Bouna,CI,2020-07-11 03:33:15,9.27,-3.0,71.44,91,100,7.09
