City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
282,Limon,CR,10.0,-83.03,82.4,78,3,3.11,clear sky,0.0,0.0
283,Santa Rosa De Aguan,HN,15.95,-85.72,82.49,79,49,21.34,scattered clouds,0.0,0.0
284,Bathsheba,BB,13.22,-59.52,82.4,78,20,14.99,few clouds,0.0,0.0
285,Ampanihy,MG,-24.7,44.75,60.78,89,14,3.58,few clouds,0.0,0.0
286,Kungurtug,RU,50.6,97.52,66.18,66,18,2.37,few clouds,0.0,0.0
287,Cabedelo,BR,-6.98,-34.83,73.4,88,0,4.7,clear sky,0.0,0.0
288,Mossendjo,CG,-2.95,12.73,66.02,98,84,3.89,broken clouds,0.0,0.0
289,Healesville,AU,-37.65,145.52,53.01,85,70,5.01,broken clouds,0.0,0.0
290,Dolores,AR,-36.31,-57.68,39.87,69,13,9.24,few clouds,0.0,0.0
291,Severo-Kurilsk,RU,50.68,156.12,50.54,90,100,8.37,overcast clouds,0.0,0.0
292,Wiwili,NI,13.63,-85.83,72.68,81,82,3.94,broken clouds,0.0,0.0
293,Moron,AR,-34.65,-58.62,53.01,45,59,4.0,broken clouds,0.0,0.0
294,San Isidro,PE,-12.12,-77.05,59.0,82,40,5.82,scattered clouds,0.0,0.0
295,Paola,IT,39.36,16.04,70.0,70,0,3.91,clear sky,0.0,0.0
